index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,易***湄,一直用阿玛尼的粉底液和气垫，质量很好。看到赞多推荐了这款乳液，相信赞多也相信阿玛尼，立刻就下单了。送了好多赠品，香水和乳液的赠品很适合玩这种经常出差的上班族，谢谢啦！ 乳液的香味自然高雅，本人皮肤混合型，生活地比较湿热，试用感觉滋润不油腻，很快被皮肤吸收，很舒适。感谢阿玛尼选择赞多～,2021-05-03 18:51:35,Null,Null,Null,True,1130516008356,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
2,沙***造,来支持刘宇宝贝的！补货红气垫➕get新款液体面霜，感谢阿玛尼邀请INTO1刘宇~期待下次,2021-05-10 22:11:01,Null,Null,Null,True,1132363214581,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
3,王***含,超乎想象！已经用了几天，感觉很不错！即时效果好！会否有大改变，是要长期用再继续观察哦！刘宇推荐哦，同款超级棒哦,2021-05-12 17:44:49,Null,Null,Null,True,1132996843661,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
4,y***a,中草多时，刚好碰上阿玛尼和刘宇合作，立马拍下！水化霜的黑科技面霜满足了好奇心，高浓度的神经酰胺又让敏感肌肤放心购买。,2021-05-10 21:42:29,Null,Null,Null,True,1132771899274,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
5,夏***浅,#易烊千玺韧性态度#  #易烊千玺阿玛尼全球彩妆及护肤代言人#  支持代言人易烊千玺！,2021-05-14 22:03:23,Null,Null,Null,True,1133279107670,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
6,z***1,一直用的黑曜石面霜，夏天想换一款清爽的，正好小🐟直播，买来试试，真的不错哦。,2021-05-09 08:57:25,Null,Null,Null,True,1131234888417,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
7,w***5,看到赞多推荐买的，果然是大牌护肤，质感非常好，体感很神奇，保湿效果非常不错，我很喜欢， 为了朵朵老婆 点赞多多多多多多,2021-05-05 00:41:07,Null,Null,Null,True,1130665708624,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
8,绛***竹,被刘宇直播安利的液体面霜，果断入手，想和INTO1 刘宇拥有一样的皮肤。还有赠品噢～谢谢,2021-05-09 14:47:04,Null,Null,Null,True,1132587595258,False,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
9,t***0,整体评价：产品跟我的皮肤很匹配。哈哈，刚好品牌选择了刘宇。期待下次购买。,2021-05-10 11:41:03,Null,Null,Null,True,1132691107304,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
10,w***4,小宇同款，值得拥有，守护甜C,2021-05-12 23:25:49,Null,Null,Null,True,1132168949121,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
11,菲***3,使用一次闲置出！余量看图！价格美丽！,2021-05-09 20:16:27,Null,Null,Null,True,1131768489454,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
12,c***o,质地手感：清爽干净又够保湿  我的肤质：混合型  吸收效果：吸收很快  看到赞多推广来买，收到立刻拆封上脸试用，大牌的配方真的棒，不假滑吸收快，真是款好产品。,2021-04-28 22:39:59,Null,Null,Null,True,1130398017776,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
13,帅***2,一直用阿玛尼的口红，现在刘宇宝贝推荐了更喜欢了,2021-05-09 17:46:16,Null,Null,Null,True,1131752685310,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
14,f***e,之前没有用过阿玛尼的护肤品，看到了赞多的代言，果断下单买买买。相信多多，相信阿玛尼❤️,2021-05-10 07:22:03,Null,Null,Null,True,1131351724593,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
15,x***e,支持我的千玺弟弟！ 液体面霜很神奇，倒出来是水，揉揉揉就成霜了，比黑钥匙面霜清透一点，但很保湿，我是干皮，也很适合！哑光效果，果然抛光肌肤，一使用就爱上啦！,2021-05-01 17:57:53,上一条视频没放好到水变成霜的样子，追评一下。,2021-05-01 18:02:39,5,True,1131577035367,True,面霜,化妆品净含量:125ml,【520礼物】阿玛尼黑钥匙至臻奂颜修护凝液 液体面霜,tmall,https://detail.tmall.com/item.htm?id=641136124901&ns=1&abbucket=6
