index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,r***1,整体评价：划算！点赞呦 美白效果：真的有效啊 保湿控油效果：挺不错的 我的肤质：干性,2021-05-10 10:46:31,Null,Null,Null,True,1132682807836,False,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
2,紫***6,包装依旧大气精美。质地细腻非常好吸收，保湿效果非常好不油腻。好评！,2021-05-14 14:06:59,Null,Null,Null,True,1132804870538,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
3,e***b,期待,2021-05-09 09:32:00,Null,Null,Null,True,1132133078941,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
4,多***8,跟专柜一样，这次搞活动，物有美价廉，值得购买,2021-05-14 18:43:05,Null,Null,Null,True,1132844626573,False,面霜,适合肤质:所有肤质;化妆品净含量:75g/ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
5,丹***6,赠品多多感觉好幸福呢☺,2021-05-04 14:40:36,Null,Null,Null,True,1131044257010,False,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
6,小***辣,非常好用 味道还好闻,2021-05-09 16:13:50,Null,Null,Null,True,1131738721494,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
7,p***5,回购款，超喜欢,2021-05-11 00:16:06,Null,Null,Null,True,1132372514778,False,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
8,王***8,希望这款白胶原霜效果好,2021-05-13 18:24:53,Null,Null,Null,True,1133127091218,False,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
9,g***d,喜欢，大爱啊,2021-05-11 11:00:37,Null,Null,Null,True,1132815891046,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
10,家***0,美白效果：用了一周有效果,2021-05-05 22:52:41,Null,Null,Null,True,1132113815832,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
11,邂***怀,一如既往支持，是雅诗兰黛的忠粉，喜欢😘,2021-05-05 15:48:11,Null,Null,Null,True,1130748312156,False,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
12,一***万,之前用的天气丹，自从换了雅诗兰黛之后再也没用过后了，补水保湿效果很好适合我，活动送了一堆小样，以后都在线上买了,2021-05-06 06:37:45,Null,Null,Null,True,1131267593969,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
13,爸***0,很信任雅诗兰黛,2021-05-08 14:22:53,Null,Null,Null,True,1131153536416,False,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
14,李***9,此用户没有填写评论!,2021-03-30 20:50:14,一如既往的好,2021-05-07 12:49:23,52,True,1131450729354,False,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
15,x***u,没用过，套装里一瓶，再囤一瓶。,2021-04-27 14:59:35,Null,Null,Null,True,1130225881476,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
16,小***鸟,一直这件买，不错,2021-05-05 13:22:40,Null,Null,Null,True,1132020851930,True,面霜,化妆品净含量:75ml,【重磅新品】雅诗兰黛面霜白胶原霜 美白紧致抗老 匀肤色去黯黄,tmall,https://detail.tmall.com/item.htm?id=638309715051&ns=1&abbucket=6
