index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,蔷***1,整体评价：正品，包装严实，完好无损，质地清爽，很有质感的玻璃瓶,2021-05-03 16:37:56,Null,Null,Null,True,1130499512568,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
2,亲***花,还不错买了两瓶还挺划算。配我的水乳用,2021-05-10 16:20:24,Null,Null,Null,True,1132731971766,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
3,z***7,包装很有质感，之前用过大瓶的，保湿不错。,2021-05-12 09:30:07,Null,Null,Null,True,1132515430339,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
4,明***静,便宜好用 已经空瓶两瓶了,2021-05-09 13:05:47,Null,Null,Null,True,1132161850147,False,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
5,明***莲,非常好，还便宜，买了四瓶了,2021-05-13 20:56:17,Null,Null,Null,True,1132729934241,False,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
6,黑***s,用了很久才来反馈，皮肤的确细腻多了，也很好吸收，我是大敏感皮用着也不过敏,2021-05-14 19:10:37,Null,Null,Null,True,1131950128810,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
7,c***9,两瓶才190多，比较划算,2021-05-10 10:05:05,Null,Null,Null,True,1131370452495,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
8,t***3,相信天猫超市，肌底液吸收好,2021-05-12 00:26:19,Null,Null,Null,True,1132497726071,False,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
9,w***n,美白效果：很好,2021-05-09 16:22:15,Null,Null,Null,True,1132189850866,False,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
10,z***7,包装完好,2021-05-10 13:10:31,Null,Null,Null,True,1131396592567,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
11,飘***妹,看起来不错,2021-05-10 23:11:21,Null,Null,Null,True,1132779963593,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
12,暴***7,媳妇喜欢,2021-05-11 09:48:56,Null,Null,Null,True,1132805407571,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
13,l***1,太划算了，天猫超市给力啊。效果不错的，很舒服，比不用好很多。,2021-05-01 16:35:05,Null,Null,Null,True,1130711185506,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
14,z***9,感觉和之前天猫旗舰店买的一样，这个价格很实惠啊，值得买,2021-05-08 15:32:05,Null,Null,Null,True,1132467171522,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
15,4***g,很好，买了几次了,2021-05-12 15:30:20,Null,Null,Null,True,1131667700527,True,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
16,t***9,好用，收缩毛孔厉害了,2021-05-07 09:10:32,Null,Null,Null,True,1131867774496,False,精华,化妆品净含量:30g/mL,SULWHASOO/雪花秀润燥精华30ml(促销装) 尝鲜体验旅行装淡纹亮泽,tmall,https://detail.tmall.com/item.htm?id=634652839249&ns=1&abbucket=6
