index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,z***6,活动价时入手，价格实惠，大品牌可信耐，质量有保证，效果更是没话说😄,2021-05-08 07:40:35,Null,Null,Null,True,1131992578493,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
2,端***6,不错不错，进口的木有塑封。都说用了红腰子今年20明年19,2021-05-13 21:39:23,用了两次红腰子➕神仙水妥妥的拯救的我的红脸蛋😝😝😝一生推，图一为用前，图二为用后。,2021-05-14 07:58:22,0,True,1131836524619,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
3,t***1,此用户没有填写评论!,2021-05-10 21:09:16,挺好的，感觉是正品，跟亲戚日本代购的差不多,2021-05-14 18:29:48,18,True,1133257139006,False,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
4,c***来,一直用红腰子抗过敏，应该是正品,2021-05-06 09:00:41,Null,Null,Null,True,1132139299484,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
5,葱***j,一直用这款，喜欢,2021-05-11 20:51:33,Null,Null,Null,True,1132480802139,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
6,漠***9,追溯码查询是日本生产的，价格比我在浦东机场日上免税店买的便宜了好几百，跟日上买的仔细比较没有任何不同，期待效果,2021-05-03 19:21:42,Null,Null,Null,True,1131817163050,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
7,蔡***0,不错，性价比高,2021-05-12 18:59:39,Null,Null,Null,True,1131695432464,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
8,y***y,此用户没有填写评论!,2020-12-07 18:34:03,用完了才来追评，挺好的,2021-05-08 14:53:15,166,True,1132461027517,False,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
9,b***y,估计挺不错的吧，女朋友喜欢,2021-05-07 19:06:27,Null,Null,Null,True,1131506461888,False,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
10,s***莹,好大一瓶，划算，囤货给力,2021-04-30 20:56:32,Null,Null,Null,True,1131072918002,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
11,s***a,此用户没有填写评论!,2020-12-07 11:44:32,还行吧，等过一段时间再追评,2021-04-29 10:00:35,157,True,1131275263907,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
12,v***9,此用户没有填写评论!,2020-12-26 17:38:47,做活动买的，就是比平时便宜呢，划算不少，非常满意，买来囤货,2021-04-20 11:48:30,129,True,1128871424267,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
13,静***5,女票的生日礼物，她很喜欢，我也开心！红腰子还是不错的奥,2021-04-16 12:59:21,Null,Null,Null,True,1128380664329,False,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
14,紫***9,此用户没有填写评论!,2020-12-30 00:11:53,好用，正版，买的很放心哦,2021-04-21 21:20:32,127,True,1130357423209,True,精华,,Shiseido/资生堂傲娇精华红腰子红妍肌活精华露紧致 100ml精华液,tmall,https://detail.tmall.com/item.htm?id=614744905032&ns=1&abbucket=6
