index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
54,成***奕,给妈妈买的，希望不会过敏,2021-04-27 18:22:07,Null,Null,Null,True,1130701554053,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
55,腿***饭,没敢直接上脸，抹的脖子，用了一个多礼拜，肉眼可见的速度反黑，我真是醉了，怎么都没想明白，为啥越用越黑,2021-05-04 23:11:03,Null,Null,Null,True,1131960887805,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
56,乌***花,用了两次就成这样了，8号联系客服说会48小时内联系我解决，但是一直到12号才联系我，那个时候已经好一些了，我问客服能不能退货退款，客服说未拆封的可以。那我不拆封使用也不可能知道会过敏啊。又说过敏的话需要去三甲医院挂号，我问她那我请假去医院挂号扣工资扣满勤你们承担吗？客服说只能报一部分药品的费用，进口药美容药等等报了一大串名录说不给承担。买这个东西我就花了不到300，我也不想折腾了。我之前用过其他牌子的烟酰胺成分的护肤品，从来没有出现过这种情况。只能说大家尝试没用过的牌子要慎重购买引以为戒吧。,2021-04-13 14:58:12,Null,Null,Null,True,1128025128394,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
57,吴***瑞,送了好多，，,2021-04-25 13:49:30,Null,Null,Null,True,1129960401895,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
58,e***染,包装也太烂了&hellip;好歹也是四五百的东西整个箱子里就两盒精华，缓冲物都没有,2021-04-08 18:58:06,Null,Null,Null,True,1128289150889,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
59,夏***2,还可以，再用用看吧,2021-04-26 13:41:36,Null,Null,Null,True,1130087573867,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
60,天***波,这个差评是给客服的。,2021-04-15 09:31:02,Null,Null,Null,True,1128227236635,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
61,不***风,用第二瓶了，感觉有一点效果。不过也没往上宣传的那么唬人，中规中矩吧！,2021-05-18 09:26:40,Null,Null,Null,True,1132827541138,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
62,s***l,100ml买一送一 很可 应该就是出了新一代就在亲妈店铺里清老一代库存了 看之前评价还有别的赠品送 没赶上那个活动 不过这个价格已经非常可了 两百多块的100ml平价小灯泡 还要啥自行车啊 限用日期2023年 也很可以,2021-05-05 10:00:04,Null,Null,Null,True,1131577650906,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
63,许***h,真是店大欺客 购买也就10天左右你就不退差价 真是够啦  🐔 的   而且送的东西也没有评论那么多 就一点点 忘记拍照了等我追评拍照  真够恶心恶心恶心恶心 真是店大欺客 购买也就10天左右你就不退差价 真是够啦  🐔 的   而且送的东西也没有评论那么多 就一点点 忘记拍照了等我追评拍照  真够恶心恶心恶心恶心,2021-05-04 16:54:21,真是店大欺客 购买也就10天左右你就不退差价 真是够啦  🐔 的   而且送的东西也没有评论那么多 就一点点 忘记拍照了等我追评拍照  真够恶心恶心恶心恶心 真是店大欺客 购买也就10天左右你就不退差价 真是够啦  🐔 的   而且送的东西也没有评论那么多 就一点点 忘记拍照了等我追评拍照  真够恶心恶心恶心恶心,2021-05-04 16:57:11,3,True,1131063825639,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
64,z***东,很好,2021-05-12 18:10:39,Null,Null,Null,True,1132136573823,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
65,叶***n,好评,2021-05-07 15:40:18,Null,Null,Null,True,1132334539535,False,精华,化妆品净含量:75ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
66,r***r,全新     330转！！！,2021-05-02 21:51:28,Null,Null,Null,True,1130415016153,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
67,l***r,备货的,2021-04-27 17:23:56,Null,Null,Null,True,1131094795872,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
68,伊***0,很好很好,2021-05-06 17:24:27,Null,Null,Null,True,1131358425906,True,精华,化妆品净含量:75ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
69,0***0,好评！,2021-05-11 13:00:21,Null,Null,Null,True,1132830887912,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
70,大***薪,宝贝收到了，快递很快，和图片一样，价格很划算，好评,2021-04-25 21:23:39,Null,Null,Null,True,1129580648552,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
71,l***9,好评！,2021-04-30 16:15:46,Null,Null,Null,True,1131444707808,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
72,朱***1,客服真是无语～快递是放到驿站自提的，收到就是破损的，找客服说是赔偿10元～再有还没收到货就便宜了20差价，客服也说可以补差价～但是等我上传了照片申请退费客服就不认账了~这个差评是给你们客服的～,2021-04-18 18:59:52,Null,Null,Null,True,1129548850733,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
73,a***6,整体评价：用了以后脸又黑又油 美白效果：差 我的肤质：我一个干皮都用成了油皮，不白也就算了，反倒还黑了，我都怀疑是不是假的🙃 而且这前后差价也太大了，无法接受！我已经扔了，各位要购买的要擦亮眼睛🙂🙂🙂,2021-05-01 21:03:07,Null,Null,Null,True,1131593719804,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
74,玲***9,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错,2021-05-15 19:43:40,Null,Null,Null,True,1133390339413,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
75,h***e,不耐受啊，还买了最大瓶的，求转，某鱼买买买第12年,2021-05-17 11:40:09,Null,Null,Null,True,1132715317668,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
76,飞***鸿,整体评价：包装完好，物流很快，暂时没有使用，期待有效果,2021-05-16 13:03:56,Null,Null,Null,True,1133461583582,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
77,赵***9,会变白，淡斑。,2021-05-17 10:27:42,Null,Null,Null,True,1133156718009,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
78,汝***年,💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来,2021-05-17 20:54:27,Null,Null,Null,True,1132341232309,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
79,守***2,价格是非常实惠的，官方店，应该不会有质量问题，坚持用希望会有效果,2021-05-15 20:33:44,Null,Null,Null,True,1132083428218,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
