index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,t***8,价格划算，经常在猫超买护肤品,2021-05-13 10:56:34,Null,Null,Null,True,1133065715274,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
2,怎***6,倒是很滋润，效果吧，得长久一点来看,2021-05-03 06:58:52,Null,Null,Null,True,1131319786960,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
3,碰***7,还在使用中 期待效果,2021-05-08 17:15:01,Null,Null,Null,True,1131624161317,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
4,m***子,囤货，还没用，挺划算的,2021-05-02 17:46:30,Null,Null,Null,True,1131689331325,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
5,d***1,很滋润 淡细纹的效果暂时还没有看见,2021-04-27 10:36:39,Null,Null,Null,True,1129747988282,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
6,t***1,正品，期待效果,2021-04-30 19:27:16,Null,Null,Null,True,1130615065014,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
7,尘***飞,第二次买了，非常好用 会回购,2021-04-30 22:42:14,Null,Null,Null,True,1130632993970,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
8,野***雅,目前还没见什么效果，眼霜这种保养品坚持用一定会有效果的,2021-05-03 14:20:46,Null,Null,Null,True,1131369350909,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
9,张***9,一直用这款，用了好多年了，无限回购,2021-04-21 10:01:22,Null,Null,Null,True,1130266087364,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
10,影***枫,已经多次购买了，很好。好评！,2021-04-16 17:03:48,Null,Null,Null,True,1128416440510,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
11,b***局,还没用，等用段时间再说,2021-04-26 15:46:51,Null,Null,Null,True,1130552722998,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
12,b***夏,终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接,2021-03-28 15:17:55,Null,Null,Null,True,1125971216170,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
13,小***z,还没打开用，外包装看挺精细的，期待使用效果！,2021-04-25 21:12:49,Null,Null,Null,True,1130465678592,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
14,向***罢,挺好的宝贝，之前有用过的。效果不错。,2021-04-13 10:53:59,Null,Null,Null,True,1129262267828,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
15,l***o,包装品质：一般 商品气味：一般 使用效果：还可以 打折有活动的时候可以入,2021-03-30 11:09:08,Null,Null,Null,True,1127454491576,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
16,于***0,这款是在老爸测评中种草的，看到活动就买了，用了一周左右，觉得效果很好，保湿不错，希望可以淡化细纹，继续使用,2021-03-17 10:21:22,Null,Null,Null,True,1125670535118,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
17,李***忆,还可以,2021-03-08 23:34:22,Null,Null,Null,True,1124788819090,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
18,c***i,我觉得是正品,2021-03-08 08:57:18,Null,Null,Null,True,1124707983342,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
19,上***润,非常好 独立塑封包装  日期也新,2021-03-06 09:27:36,Null,Null,Null,True,1124547295765,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
20,繁***光,还没用，用了再来反馈,2021-03-27 14:40:33,Null,Null,Null,True,1126272377623,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
21,潘***子,没什么味道，很好吸收。,2021-03-11 17:59:34,Null,Null,Null,True,1125084039861,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
22,萌***丶,不错 给妈妈买的 她说很好用,2021-03-14 03:57:17,Null,Null,Null,True,1124103536100,False,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
23,于***木,刚开始使用，希望对细纹有用。 使用感觉有点点油，但是现在还能接受，质地比较润。 发货很快，价格比官方便宜,2021-03-24 16:57:26,Null,Null,Null,True,1126285502053,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
24,t***4,还没有用，看着不错,2021-03-18 09:35:04,Null,Null,Null,True,1125421458606,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
25,无***咩,368入手，给大家参考,2021-03-11 08:42:44,Null,Null,Null,True,1123779328423,True,眼霜,,Shiseido/资生堂百优丰盈提拉紧致眼霜15ml小钢炮眼霜修护眼纹,tmall,https://detail.tmall.com/item.htm?id=625737677592&ns=1&abbucket=6
