index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,v***2,挺好送了幾個試用還有一個包,2021-05-12 17:49:53,Null,Null,Null,True,1132585506562,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
2,l***7,好评！之前一直用迪奥香水，没用过护肤产品，前几天官网宣赵丽颖护肤代言人的时候就尝试买了一份，用着感觉很好，这次颖宝做客直播间当然得再支持一份。有活动也非常划算，眼霜很滋润！后续会再试试迪奥护肤的其他产品的。,2021-05-14 13:04:52,Null,Null,Null,True,1133209263021,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
3,d***m,支持小赵！亲测质地很清爽，刷口纹路比较贴合眼型，味道也很喜欢。,2021-05-13 11:09:06,Null,Null,Null,True,1132203521386,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
4,v***娅,冲着代言人买的，赠送的包包很有质感，眼霜用起来很舒服，期待效果，爱豆同款你值得拥有,2021-05-13 10:27:25,Null,Null,Null,True,1131749948742,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
5,t***r,很喜欢这个头，可以边用边按摩到眼部周围穴位，挺好用的，还送了好几个小样，开心~支持护肤代言人赵丽颖~,2021-05-13 19:00:03,Null,Null,Null,True,1131819556311,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
6,v***8,dior的产品一直颜值很高，不过护肤品一直觉得有点鸡肋，就是妈妈一直很喜欢花蜜眼霜，彩妆也一直有买，这次颖宝代言了，10号付定金，11号付尾款，12号一早就到了。赵丽颖加油！,2021-05-13 10:42:12,Null,Null,Null,True,1132199489921,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
7,凶***妹,买了眼精华和精粹水！为赵丽颖而下单！支持中国护肤代言人赵丽颖！赵丽颖代言到什么时候我买到什么时候！永远支持赵丽颖！颖虫🔒,2021-05-13 12:46:50,Null,Null,Null,True,1132216125002,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
8,小***8,包装好美，送了小化妆包，还有两个小样，我用了一下眼部精华，很水润，喜欢丽颖。,2021-05-13 18:21:30,Null,Null,Null,True,1132713338062,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
9,z***g,包装精美，感觉很用心。支持护肤代言人赵丽颖！,2021-05-13 14:27:46,Null,Null,Null,True,1131781740998,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
10,p***g,发货速度快，因为颖宝关注到迪奥护肤品，之前用兰蔻、雅诗兰黛比较多，适合自己再继续支持❤️,2021-05-13 21:14:00,Null,Null,Null,True,1131834372068,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
11,t***8,Dior护肤，随颖选择，希望和迪奥来次浪漫的邂逅 ！,2021-05-14 21:29:12,Null,Null,Null,True,1131964400317,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
12,宛***8,颖火虫来晒单了～包装精美，还送了不少小样～期待眼精华效果。,2021-05-14 17:42:14,Null,Null,Null,True,1132837574174,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
13,宛***8,颖火虫来喽，支持姐姐代言，包装精美，期待眼精华可以让我减龄，嘻嘻嘻～,2021-05-13 09:59:28,Null,Null,Null,True,1131745988113,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
14,陌***2,包装很好，东西看上去也不错。单纯因为赵丽颖代言了才买的，希望也好用。,2021-05-12 21:22:09,Null,Null,Null,True,1132608110829,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
15,苏***慧,这个是因为代言人买的，用了两天眼部是挺紧致的，期待后续的效果,2021-05-13 15:17:44,Null,Null,Null,True,1131789128052,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
16,c***a,支持姐姐的新代言～物流好快！！包装盒非常好看～赠品也是诚意满满；祝Dior越来越好！！,2021-05-12 23:33:33,Null,Null,Null,True,1132169313359,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
17,芭***7,此用户没有填写评论!,2021-05-11 18:45:25,昨晚赵丽颖直播间买的，只因为喜欢赵丽颖，今天就到货了，好速度，包装好漂亮😍,2021-05-11 18:47:34,0,True,1132015825724,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
18,s***3,发货快，很喜欢，颖宝直播那天买的 人生第一支眼霜，还赠了一堆小样和妹**化妆包，满意,2021-05-14 08:39:09,Null,Null,Null,True,1132306873566,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
19,寻***3,第一次用dior眼霜，表白赵丽颖，美女越来越好(✪▽✪),2021-05-12 20:21:12,Null,Null,Null,True,1133014255201,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
20,f***0,主持丽颖 这个化妆包真的很好看！颜色超级正！希望品牌和丽颖都能越来越好 ！,2021-05-14 23:21:32,Null,Null,Null,True,1131973472985,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
21,鹏***大,为阿赵而来，去年囤护肤品时就因为丽颖选了Dior这个系列，哈哈哈，缘份啊,2021-05-12 15:11:25,Null,Null,Null,True,1132111457338,True,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
22,丿***灬,非常不错，我们家颖宝代言的，女朋友最喜欢颖宝了，520买给女朋友,2021-05-14 10:21:14,Null,Null,Null,True,1133186459635,False,眼霜,化妆品净含量:20ml,【赵丽颖PICK】迪奥Dior肌活蕴能小A瓶眼精华 紧致眼周淡黑眼圈,tmall,https://detail.tmall.com/item.htm?id=641384965140&ns=1&abbucket=6
