index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,w***0,超级不错的 我都是用的好才来评价 不好就直接退掉这个很划算 大家不用犹豫闭眼入就可以了 可以的可以的 真的很不错呢 快来买快来买,2021-05-10 22:14:21,Null,Null,Null,True,1132774783688,True,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
2,三***糖,一直在用这款 活动价跟代购一样很划算,2021-05-10 10:44:56,Null,Null,Null,True,1132682455811,True,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
3,t***0,使用效果：主要减少黑烟圈，效果很好 包装品质：包装正品,2021-05-05 16:35:38,Null,Null,Null,True,1130757780146,False,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
4,x***5,妈妈很喜欢，主要是速度快,2021-05-05 09:49:00,Null,Null,Null,True,1131127485053,True,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
5,b***麻,价格很优惠,2021-05-03 20:09:01,Null,Null,Null,True,1131821551825,False,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
6,r***h,送闺蜜的，她很开心,2021-05-06 10:56:46,Null,Null,Null,True,1131751694027,False,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
7,刘***1,肤感不错,2021-05-08 00:52:00,Null,Null,Null,True,1132395263552,True,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
8,贝***糖,乳霜细腻保湿好，会回购！,2021-04-27 06:31:49,Null,Null,Null,True,1130614286054,True,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
9,s***w,兰蔻眼霜收到了，用着不错。天猫超市值得信赖！,2021-04-29 14:17:49,Null,Null,Null,True,1130456257266,True,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
10,三***木,一直用这个眼霜，发货快值得信赖,2021-04-20 13:57:51,Null,Null,Null,True,1128890196230,True,眼霜,化妆品净含量:15g/ml,Lancome/兰蔻肌底精华眼霜15ml 发光眼霜/小黑瓶淡化黑眼圈细纹,tmall,https://detail.tmall.com/item.htm?id=623285747519&ns=1&abbucket=6
