index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
16,幽***飞,不油腻，润润的,2021-04-06 21:47:52,Null,Null,Null,True,1127625581040,True,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
17,s***0,整体评价：味道很好闻很喜欢,2021-04-10 12:42:06,Null,Null,Null,True,1128889387864,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
18,t***1,使用感超棒学生党平价强推,2021-04-02 12:35:00,Null,Null,Null,True,1127470114472,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
19,肖***哒,好用，味道也好闻,2021-04-02 15:39:46,Null,Null,Null,True,1127496258924,True,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
20,好***1,【海桐】很好。  整体评价：清香淡雅好闻 质地手感：细腻舒服 吸收效果：好吸收,2021-03-07 00:59:25,Null,Null,Null,True,1124238846353,True,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
21,7***云,包装精致，气味好闻，吸收快，保湿效果很不错,2021-03-11 17:03:47,Null,Null,Null,True,1124697886710,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
22,独***坊,现在用的都是花田半亩的东东，很好用价格实惠，赞👍还送了好多东西，谢谢店主,2021-03-27 15:07:33,Null,Null,Null,True,1127098563725,True,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
23,t***3,此用户没有填写评论!,2021-04-24 09:25:40,抹烂脸了..无语,2021-05-01 12:43:52,22,True,1131535667232,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
24,t***6,物流速度快，商品质量好，服务态度好,2021-04-12 11:36:47,Null,Null,Null,True,1129136427753,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
25,小***5,非常好用，对皮肤不刺激，皮肤不干涩了，已经入手第二瓶了！,2021-03-10 13:10:22,Null,Null,Null,True,1124928691660,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
